0	1	2	3

1		74	1	
1		78	1	
1		103	1	
1		104	1	
1		112	1	
1		120	1	
1		140	1	
1		143	1	
1		219	1	
1		243	1	
1		254	1	
1		259	1	
1		260	1	
1		266	1	
1		27	2	
1		36	2	
1		102	2	
1		145	2	
1		148	2	
1		155	2	
1		213	2	
1		225	2	
1		233	2	
1		252	2	
1		255	2	
1		264	2	
1		10	3	
1		17	3	
1		24	3	
1		31	3	
1		49	3	
1		53	3	
1		54	3	
1		62	3	
1		67	3	
1		69	3	
1		70	3	
1		73	3	
1		85	3	
1		92	3	
1		97	3	
1		117	3	
1		118	3	
1		125	3	
1		130	3	
1		159	3	
1		164	3	
1		180	3	
1		188	3	
1		189	3	
1		200	3	
1		201	3	
1		215	3	
1		218	3	
1		226	3	
1		232	3	
1		262	3	
1		272	3	
1		20	4	
1		23	4	
1		33	4	
1		39	4	
1		47	4	
1		51	4	
1		56	4	
1		61	4	
1		65	4	
1		72	4	
1		76	4	
1		80	4	
1		84	4	
1		90	4	
1		98	4	
1		107	4	
1		121	4	
1		128	4	
1		132	4	
1		134	4	
1		151	4	
1		157	4	
1		160	4	
1		161	4	
1		163	4	
1		184	4	
1		185	4	
1		186	4	
1		193	4	
1		206	4	
1		209	4	
1		210	4	
1		212	4	
1		214	4	
1		222	4	
1		227	4	
1		229	4	
1		230	4	
1		236	4	
1		241	4	
1		248	4	
1		250	4	
1		265	4	
1		267	4	
2		314	1	
2		315	1	
2		19	3	
2		280	3	
2		281	3	
2		290	3	
2		298	3	
2		307	3	
2		308	3	
2		312	3	
2		13	4	
2		257	4	
2		279	4	
2		292	4	
2		297	4	
2		299	4	
2		301	4	
2		303	4	
3		245	1	
3		332	1	
3		335	1	
3		337	1	
3		341	1	
3		264	2	
3		272	2	
3		294	2	
3		300	2	
3		323	2	
3		324	2	
3		330	2	
3		299	3	
3		307	3	
3		334	3	
3		343	3	
3		345	3	
3		349	3	
3		350	3	
3		351	3	
3		354	3	
3		318	4	
3		327	4	
3		331	4	
3		348	4	
4		264	3	
4		356	3	
4		260	4	
4		288	4	
4		357	4	
5		69	1	
5		110	1	
5		241	1	
5		243	1	
5		259	1	
5		364	1	
5		369	1	
5		370	1	
5		377	1	
5		389	1	
5		400	1	
5		402	1	
5		410	1	
5		411	1	
5		421	1	
5		424	1	
5		439	1	
5		441	1	
5		453	1	
5		454	1	
5		457	1	
5		80	2	
5		167	2	
5		225	2	
5		231	2	
5		234	2	
5		376	2	
5		388	2	
5		393	2	
5		394	2	
5		397	2	
5		444	2	
5		2	3	
5		79	3	
5		90	3	
5		94	3	
5		98	3	
5		102	3	
5		139	3	
5		143	3	
5		144	3	
5		154	3	
5		176	3	
5		185	3	
5		214	3	
5		219	3	
5		230	3	
5		363	3	
5		372	3	
5		379	3	
5		384	3	
5		403	3	
5		407	3	
5		413	3	
5		417	3	
5		418	3	
5		426	3	
5		429	3	
5		445	3	
5		1	4	
5		17	4	
5		24	4	
5		40	4	
5		62	4	
5		173	4	
5		211	4	
5		222	4	
5		227	4	
5		267	4	
5		385	4	
5		391	4	
5		422	4	
5		423	4	
5		435	4	
6		458	1	
6		476	1	
6		477	1	
6		28	2	
6		95	2	
6		117	2	
6		143	2	
6		258	2	
